slug;kod;marka;urun_adi;FIYAT_BURAYA
9-pcs-fan-blade;PJ-023;;9 pcs Fan Blade PJ-023;
aquablocker-ms-polimer-su-yalitim-malzemesi;;;AquaBlocker Ms Polimer Su Yalıtım Malzemesi;
as-sogutma-chiller-52-864-kcal-h-3-ay-calisti-yeni-dersiniz-gorseniz-407c-gazli;54864kcalh;;As Soğutma Chiller 54864kcalh;
fan-motoru-ydk53-6h-220-240v;YDK53-6H;;Dış Fan Motoru YDK53-6H;
dis-unite-fan-carki-112-m00101000;112;;Dış Ünite Fan Çarkı 112 M00101000;
duvar-tipi-egzost-fan-em-36;EM-36;;Evaporatif Soğutma Duvar Tipi Egzost Fan EM-36;
duvar-tipi-egzost-fan-em-50;EM-50;;Evaporatif Soğutma Duvar Tipi Egzost Fan EM-50;
duvar-tipi-egzost-fan-eos-53;EOS-53;;Evaporatif Soğutma Duvar Tipi Egzost Fan EOS-53;
duvar-tipi-egzost-fan-ews-31;EWS-31;;Evaporatif Soğutma Duvar Tipi Egzost Fan EWS-31;
evaporatif-sogutma-petek-cooling-media-pad-60-150;;;Evaporatif Soğutma Petek;
f-serisi-hassas-kontrollu-klimalar;;;F Serisi Hassas Kontrollü Klima;
fan-motoru-112m00054-000;112M00054-000;;Fan Motoru 112M00054-000;
fan-motoru-114m42112803;114M42112803;;Fan Motoru 114M42112803;
fan-motoru-17b11754-a-cp-3552;17B11754-A;;Fan Motoru 17B11754-A CP 3552;
fan-motoru-220-240-v-12b206c1e-2l-ad1;220-240;;Fan Motoru 220-240 V - 12B206C1E/2L--AD1;
fan-motoru-220-240-v-df3g4002k;220-240;;Fan Motoru 220-240 V - DF3G4002K;
fan-motoru-220-240-v-yss413b8103l;220-240;;Fan Motoru 220-240 V - YSS413B8103L;
fan-motoru-5kcp29cge460s;5KCP29CGE460S;;Fan Motoru 5KCP29CGE460S;
fan-motoru-5kcp29lg-e462s;5KCP29LG;;Fan Motoru 5KCP29LG E462S;
fan-motoru-cc50cw-axaa-r02;CC50CW-AXAA-R02;;Fan Motoru CC50CW-AXAA-R02;
fan-motoru-ydk-24-6;24-6;;Fan Motoru YDK 24-6;
fan-motoru-ydk-45-4f;45-4F;;Fan Motoru YDK 45-4F;
fan-motoru-ydk120-8n-220v-240v-411m10531-000;YDK120-8N;;Fan Motoru YDK120-8N 411M10531-000;
fan-motoru-ydk53-6-220-240v-502m1811811;YDK53-6;;Fan Motoru YDK53-6 220-240V 502M1811811;
fan-motoru-ydk65-6f-220-240v;YDK65-6F;;Fan Motoru YDK65-6F 220-240V;
fan-motoru-ysk59-4d-220-240v;YSK59-4D;;Fan Motoru YSK59-4D;
fan-motoru-carki-1bca03022;1BCA03022;;Fan Motoru Çarkı 1BCA03022;
fan-carki-103m33111801;103M33111801;;Fan Çarkı 103M33111801;
frequency-inveter-control-system;;;Frequency İnveter Control System;
hassas-kontrollu-klimalar-icin-dis-unite;;;Hassas Kontrollü Klimalar için Dış Ünite;
fan-motoru-ydk65-6-ydk68-6220-240-114m48132019;YDK65-6;;Klima Fan Motoru 114M48132019;
kompresor-aw520et-160-a4;AW520ET-160-A4;;Kompresör AW520ET-160-A4;
kompresor-mtz22jc4ve;MTZ22JC4VE;;Kompresör MTZ22JC4VE;
kompresor-rb231yfy-380-415-400460v-50-60hz;RB231YFY;;Kompresör RB231YFY, 380-415/400460V, 50/60Hz;
munters-celdek-r-7060-15-evaporatif-sogutma-petegi;7060-15;;Munters CELdek® 7060-15 Evaporatif Soğutma Peteği;
munters-celdek-r-7090-15-evaporatif-sogutma-petegi;7090-15;;Munters CELdek® 7090-15 Evaporatif Soğutma Peteği;
rb173yfy-kompresor;RB173YFY;;RB173YFY Kompresör Japan Mitsubishi Compressor;
run-capacitor-25mf-450v;;;Run capacitor 25μF/450V;
s-p-kanal-tipi-fan-motoru-vent-200b;VENT-200B;;S.P Kanal Tipi Fan Motoru - VENT-200B;
thermostat-prodigy-f2000-1-5m;F2000;;Thermostat Prodigy F2000 1-5m;
york-salon-tipi-klimasi-ic-unite-fan-carki-411m10532000;411M10532000;;sı İç Ünite Fan Çarkı 411M10532000;
ic-unite-fan-motoru-yfn10-4e-nd10-4e;YFN10-4E(ND10-4E);;İç Ünite Fan Motoru;
ic-unite-fan-motoru-220-240v-1bcm02106;1BCM02106;;İç Ünite Fan Motoru 1BCM02106;
ic-unite-fan-motoru-230v-1bcm02-107;1BCM02;;İç Ünite Fan Motoru 230V - 1BCM02 107;
ic-unite-fan-motoru-220-240v-502m42122833;502M42122833;;İç Ünite Fan Motoru 502M42122833;
